order_id,state,ts,actor
ORD-01,placed,2026-09-08T09:02:11Z,customer
ORD-01,paid,2026-09-09T08:12:47Z,payment
ORD-01,shipped,2026-09-09T08:14:09Z,warehouse
ORD-01,delivered,2026-09-09T08:35:18Z,carrier
ORD-02,placed,2026-09-08T09:05:00Z,customer
ORD-02,pay,2026-09-09T08:20:00Z,payment
ORD-02,shipped,2026-09-09T08:44:00Z,warehouse
ORD-02,delivered,2026-09-09T08:50:00Z,carrier
ORD-03,placed,2026-09-08T09:06:00Z,customer
ORD-03,paid,2026-09-09T08:25:00Z,payment
ORD-03,delivered,2026-09-09T08:55:00Z,carrier
ORD-03,shipped,2026-09-09T08:27:00Z,warehouse
ORD-04,placed,,customer
ORD-04,paid,2026-09-09T08:30:00Z,payment
ORD-04,shipped,2026-09-09T08:32:00Z,warehouse
ORD-04,delivered,2026-09-09T08:57:00Z,carrier
ORD-05,placed,2026-09-08T09:08:00Z,customer
ORD-05,paid,2026-09-09T08:35:00Z,payment
ORD-05,shipped,2026-09-09T08:37:00Z,warehouse
ORD-05,delivered,2026-09-09T09:00:00Z,carrier
ORD-06,placed,2026-09-08T09:09:00Z,customer
ORD-06,paid,2026-09-09T08:40:00Z,payment
ORD-06,shipped,2026-09-09T08:42:00Z,warehouse
ORD-06,delivered,2026-09-09T09:02:00Z,carrier
ORD-07,placed,2026-09-08T09:10:00Z,customer
ORD-07,paid,2026-09-09T08:45:00Z,payment
ORD-07,shipped,2026-09-09T08:47:00Z,warehouse
ORD-08,placed,2026-09-08T09:11:00Z,customer
ORD-08,paid,2026-09-09T08:50:00Z,payment
ORD-08,shipped,2026-09-09T08:52:00Z,warehouse
ORD-08,delivered,2026-09-09T09:05:00Z,carrier
ORD-09,placed,2026-09-08T09:12:00Z,customer
ORD-09,paid,2026-09-09T08:55:00Z,payment
ORD-10,placed,2026-09-08T09:13:00Z,customer
