signal_id,state,ts,actor
SIG-01,red,2026-09-10T09:00:00Z,controller
SIG-01,green,2026-09-10T09:00:30Z,controller
SIG-01,yellow,2026-09-10T09:00:55Z,controller
SIG-01,red,2026-09-10T09:01:00Z,controller
SIG-01,green,2026-09-10T09:01:30Z,controller
SIG-02,red,2026-09-10T09:00:00Z,controller
SIG-02,green,2026-09-10T09:00:30Z,controller
SIG-02,yellow,2026-09-10T09:00:55Z,controller
SIG-02,red,2026-09-10T09:01:00Z,controller
SIG-03,red,2026-09-10T09:00:00Z,controller
SIG-03,yellow,2026-09-10T09:00:30Z,controller
SIG-04,red,2026-09-10T09:00:00Z,controller
SIG-04,green,2026-09-10T09:00:30Z,controller
SIG-04,blue,2026-09-10T09:00:55Z,controller
SIG-05,red,2026-09-10T09:00:00Z,controller
SIG-05,green,,controller
SIG-06,red,2026-09-10T09:00:00Z,controller
SIG-06,green,2026-09-10T09:00:30Z,controller
SIG-06,green,2026-09-10T09:00:30Z,controller
SIG-07,red,2026-09-10T09:00:00Z,controller
SIG-07,green,2026-09-10T09:00:30Z,controller
SIG-07,yellow,2026-09-10T09:00:10Z,controller
