car_id,event,arg,ts,actor
ELV-01,press,3,2026-09-10T09:00:00Z,rider
ELV-01,move,2,2026-09-10T09:00:10Z,motor
ELV-01,move,3,2026-09-10T09:00:20Z,motor
ELV-01,open,,2026-09-10T09:00:30Z,doors
ELV-01,serve,3,2026-09-10T09:00:40Z,car
ELV-01,close,,2026-09-10T09:00:50Z,doors
ELV-02,press,2,2026-09-10T09:00:00Z,rider
ELV-02,move,2,2026-09-10T09:00:10Z,motor
ELV-02,open,,2026-09-10T09:00:20Z,doors
ELV-02,serve,2,2026-09-10T09:00:30Z,car
ELV-02,close,,2026-09-10T09:00:40Z,doors
ELV-03,press,3,2026-09-10T09:00:00Z,rider
ELV-03,move,3,2026-09-10T09:00:10Z,motor
ELV-04,press,2,2026-09-10T09:00:00Z,rider
ELV-04,open,,2026-09-10T09:00:10Z,doors
ELV-04,move,2,2026-09-10T09:00:20Z,motor
ELV-05,move,0,2026-09-10T09:00:00Z,motor
ELV-06,serve,2,2026-09-10T09:00:00Z,car
ELV-07,press,2,2026-09-10T09:00:00Z,rider
ELV-07,jump,2,2026-09-10T09:00:10Z,gremlin
ELV-08,press,2,,rider
ELV-09,press,2,2026-09-10T09:00:00Z,rider
ELV-09,press,2,2026-09-10T09:00:00Z,rider
ELV-10,press,2,2026-09-10T09:00:30Z,rider
ELV-10,move,2,2026-09-10T09:00:10Z,motor
