lamp_id,state,ts,actor
LMP-01,BothOff,2026-09-10T09:00:00Z,switch
LMP-01,LampOff,2026-09-10T09:00:10Z,switch
LMP-01,On,2026-09-10T09:00:20Z,switch
LMP-01,WallOff,2026-09-10T09:00:30Z,switch
LMP-01,BothOff,2026-09-10T09:00:40Z,switch
LMP-02,BothOff,2026-09-10T09:00:00Z,switch
LMP-02,WallOff,2026-09-10T09:00:10Z,switch
LMP-02,On,2026-09-10T09:00:20Z,switch
LMP-02,LampOff,2026-09-10T09:00:30Z,switch
LMP-02,BothOff,2026-09-10T09:00:40Z,switch
LMP-03,BothOff,2026-09-10T09:00:00Z,switch
LMP-03,On,2026-09-10T09:00:10Z,switch
LMP-04,BothOff,2026-09-10T09:00:00Z,switch
LMP-04,WallOff,2026-09-10T09:00:10Z,switch
LMP-04,LampOff,2026-09-10T09:00:20Z,switch
LMP-05,BothOff,2026-09-10T09:00:00Z,switch
LMP-05,dim,2026-09-10T09:00:10Z,switch
LMP-06,BothOff,2026-09-10T09:00:00Z,switch
LMP-06,WallOff,,switch
LMP-07,BothOff,2026-09-10T09:00:00Z,switch
LMP-07,WallOff,2026-09-10T09:00:10Z,switch
LMP-07,WallOff,2026-09-10T09:00:10Z,switch
LMP-08,BothOff,2026-09-10T09:00:00Z,switch
LMP-08,WallOff,2026-09-10T09:00:30Z,switch
LMP-08,On,2026-09-10T09:00:10Z,switch
