session_id,state,ts,actor
SES-01,LogOut,2026-09-10T09:00:00Z,user
SES-01,Main,2026-09-10T09:00:10Z,user
SES-01,Settings,2026-09-10T09:00:20Z,user
SES-01,Main,2026-09-10T09:00:30Z,user
SES-01,Report1,2026-09-10T09:00:40Z,user
SES-01,Report2,2026-09-10T09:00:50Z,user
SES-01,LogOut,2026-09-10T09:01:00Z,user
SES-02,LogOut,2026-09-10T09:00:00Z,user
SES-02,Main,2026-09-10T09:00:10Z,user
SES-02,Report1,2026-09-10T09:00:20Z,user
SES-02,Main,2026-09-10T09:00:30Z,user
SES-02,LogOut,2026-09-10T09:00:40Z,user
SES-03,LogOut,2026-09-10T09:00:00Z,user
SES-03,Settings,2026-09-10T09:00:10Z,user
SES-04,LogOut,2026-09-10T09:00:00Z,user
SES-04,Main,2026-09-10T09:00:10Z,user
SES-04,Report1,2026-09-10T09:00:20Z,user
SES-04,Settings,2026-09-10T09:00:30Z,user
SES-05,LogOut,2026-09-10T09:00:00Z,user
SES-05,Main,2026-09-10T09:00:10Z,user
SES-05,dashboard,2026-09-10T09:00:20Z,user
SES-06,LogOut,2026-09-10T09:00:00Z,user
SES-06,Main,,user
SES-07,LogOut,2026-09-10T09:00:00Z,user
SES-07,Main,2026-09-10T09:00:10Z,user
SES-07,Main,2026-09-10T09:00:10Z,user
SES-08,LogOut,2026-09-10T09:00:00Z,user
SES-08,Main,2026-09-10T09:00:30Z,user
SES-08,Settings,2026-09-10T09:00:10Z,user
