word_id,symbol,ts,actor
W-01,0,2026-09-10T09:00:00Z,tape
W-01,1,2026-09-10T09:00:01Z,tape
W-01,0,2026-09-10T09:00:02Z,tape
W-01,1,2026-09-10T09:00:03Z,tape
W-02,0,2026-09-10T09:00:00Z,tape
W-02,1,2026-09-10T09:00:01Z,tape
W-03,1,2026-09-10T09:00:00Z,tape
W-03,1,2026-09-10T09:00:01Z,tape
W-04,0,2026-09-10T09:00:00Z,tape
W-05,0,2026-09-10T09:00:00Z,tape
W-05,1,2026-09-10T09:00:01Z,tape
W-05,x,2026-09-10T09:00:02Z,tape
W-06,0,,tape
W-06,1,2026-09-10T09:00:01Z,tape
W-07,0,2026-09-10T09:00:00Z,tape
W-07,0,2026-09-10T09:00:00Z,tape
W-08,0,2026-09-10T09:00:00Z,tape
W-08,1,2026-09-10T09:00:30Z,tape
W-08,0,2026-09-10T09:00:10Z,tape
