parse_id,label,ts
P01,SS(S),2026-09-10T10:00:00Z
P01,S($end),2026-09-10T10:00:01Z
P02,SS(B),2026-09-10T10:01:00Z
P02,S(A),2026-09-10T10:01:01Z
P03,SS(B),2026-09-10T10:02:00Z
P03,SS(a),2026-09-10T10:02:01Z
P03,S(b),2026-09-10T10:02:02Z
P03,S(b),2026-09-10T10:02:03Z
P04,SS(B),2026-09-10T10:03:00Z
P04,S(X),2026-09-10T10:03:01Z
P05,SS(S),2026-09-10T10:04:00Z
P05,S(A),2026-09-10T10:04:01Z
P06,SS(B),2026-09-10T10:05:00Z
P06,SS(a),
P07,SS(S),2026-09-10T10:06:00Z
P07,SS(S),2026-09-10T10:06:00Z
P07,S($end),2026-09-10T10:06:01Z
P08,SS(B),2026-09-10T10:07:02Z
P08,SS(a),2026-09-10T10:07:01Z
