run_id,op,arg,ts
RM-01,label,test-b,2026-09-10T09:00:00Z
RM-01,assign,a=6,2026-09-10T09:00:01Z
RM-01,assign,b=4,2026-09-10T09:00:02Z
RM-01,test,b=0=false,2026-09-10T09:00:03Z
RM-01,assign,t=1,2026-09-10T09:00:04Z
RM-01,goto,test-b,2026-09-10T09:00:05Z
RM-01,test,b=0=true,2026-09-10T09:00:06Z
RM-01,halt,,2026-09-10T09:00:07Z
RM-02,label,loop,2026-09-10T09:00:00Z
RM-02,assign,x=10,2026-09-10T09:00:01Z
RM-02,goto,loop,2026-09-10T09:00:02Z
RM-02,halt,,2026-09-10T09:00:03Z
RM-03,label,start,2026-09-10T09:00:00Z
RM-03,assign,a=1,2026-09-10T09:00:01Z
RM-03,goto,nowhere,2026-09-10T09:00:02Z
RM-03,halt,,2026-09-10T09:00:03Z
RM-04,label,top,2026-09-10T09:00:00Z
RM-04,assign,a=1,2026-09-10T09:00:01Z
RM-04,branch,top,2026-09-10T09:00:02Z
RM-04,halt,,2026-09-10T09:00:03Z
RM-05,label,s,2026-09-10T09:00:00Z
RM-05,assign,a=2,2026-09-10T09:00:01Z
RM-05,halt,,2026-09-10T09:00:02Z
RM-05,assign,a=3,2026-09-10T09:00:03Z
RM-06,assign,a=5,
RM-06,halt,,2026-09-10T09:00:01Z
RM-07,assign,a=1,2026-09-10T09:00:00Z
RM-07,assign,a=1,2026-09-10T09:00:00Z
RM-07,halt,,2026-09-10T09:00:01Z
RM-08,assign,a=1,2026-09-10T09:00:05Z
RM-08,assign,b=2,2026-09-10T09:00:02Z
RM-08,halt,,2026-09-10T09:00:06Z
RM-09,assign,a=1,2026-09-10T09:00:00Z
RM-09,mul,a=b*c,2026-09-10T09:00:01Z
RM-09,halt,,2026-09-10T09:00:02Z
