node_id,event,term,ts
NODE-1,timeout,2,2026-09-10T09:00:30Z
NODE-1,win,2,2026-09-10T09:00:45Z
NODE-2,timeout,3,2026-09-10T09:00:30Z
NODE-2,higher_term,4,2026-09-10T09:00:50Z
NODE-3,recv_heartbeat,1,2026-09-10T09:00:20Z
NODE-3,bogus_event,1,2026-09-10T09:00:40Z
NODE-4,win,1,2026-09-10T09:00:30Z
NODE-4,recv_heartbeat,1,2026-09-10T09:00:45Z
NODE-5,timeout,2,
NODE-6,timeout,2,2026-09-10T09:00:30Z
NODE-6,timeout,2,2026-09-10T09:00:30Z
NODE-6,win,2,2026-09-10T09:01:00Z
NODE-6,higher_term,3,2026-09-10T09:00:40Z
