ts,resource,reservation,event,source,class,start,end,token
2026-09-11T07:00:00Z,R1,,commission,operator,small,,,
2026-09-11T07:00:00Z,R2,,commission,operator,small,,,
2026-09-11T07:00:00Z,R3,,commission,operator,large,,,
2026-09-11T08:00:00Z,R1,RES-01,request,party,small,2026-09-11T09:00:00Z,2026-09-11T10:00:00Z,
2026-09-11T08:00:05Z,R1,RES-01,hold,party,,,,
2026-09-11T08:00:10Z,R1,RES-02,request,party,small,2026-09-11T09:30:00Z,2026-09-11T10:30:00Z,
2026-09-11T08:00:11Z,R1,RES-02,hold,party,,,,
2026-09-11T08:01:00Z,R1,RES-01,confirm,party,,,,
2026-09-11T08:02:00Z,R1,RES-02,cancel,operator,,,,
2026-09-11T08:01:30Z,R1,RES-06,request,party,small,2026-09-11T10:00:00Z,2026-09-11T10:30:00Z,
2026-09-11T08:02:30Z,R1,RES-06,hold,party,,,,
2026-09-11T08:03:00Z,R1,RES-06,confirm,party,,,,
2026-09-11T08:05:00Z,R1,RES-11,request,party,small,2026-09-11T11:00:00Z,2026-09-11T11:30:00Z,
2026-09-11T08:05:05Z,R1,RES-11,hold,party,,,,
2026-09-11T08:05:30Z,R1,RES-11,confirm,party,,,,
2026-09-11T08:10:00Z,R2,RES-04,request,party,small,2026-09-11T11:30:00Z,2026-09-11T12:00:00Z,
2026-09-11T08:10:05Z,R2,RES-04,hold,party,,,,
2026-09-11T08:10:30Z,R2,RES-04,confirm,party,,,,
2026-09-11T08:20:00Z,R2,RES-05,request,party,small,2026-09-11T13:00:00Z,2026-09-11T14:00:00Z,
2026-09-11T08:20:05Z,R2,RES-05,hold,party,,,,
,R2,RES-05,confirm,party,,,,
2026-09-11T08:30:00Z,R3,,maintain,scheduler,,,,
2026-09-11T08:40:00Z,R3,RES-07,request,party,large,2026-09-11T09:30:00Z,2026-09-11T10:30:00Z,
2026-09-11T08:41:00Z,R3,RES-07,hold,party,,,,
2026-09-11T09:00:00Z,R3,,restore,scheduler,,,,
2026-09-11T09:00:00Z,small,RES-03,request,party,small,2026-09-11T10:30:00Z,2026-09-11T11:30:00Z,
2026-09-11T09:00:05Z,small,RES-03,hold,party,,,,
2026-09-11T09:01:00Z,small,RES-03,confirm,party,,,,
2026-09-11T09:02:00Z,R1,RES-01,check_in,party,,,,1
2026-09-11T09:05:00Z,R3,RES-07,confirm,party,,,,
2026-09-11T09:10:00Z,R3,RES-12,request,party,large,2026-09-11T10:30:00Z,2026-09-11T11:00:00Z,
2026-09-11T09:10:05Z,R3,RES-12,hold,party,,,,
2026-09-11T09:11:00Z,R3,RES-12,confirm,party,,,,
2026-09-11T09:31:00Z,R3,RES-07,check_in,party,,,,1
2026-09-11T09:58:00Z,R1,RES-01,check_out,party,,,,1
2026-09-11T09:59:00Z,R1,,fault,operator,,,,
2026-09-11T10:00:30Z,R2,RES-06,reassign,operator,,,,
2026-09-11T10:02:00Z,R2,RES-06,check_in,party,,,,1
2026-09-11T10:28:00Z,R2,RES-06,check_out,party,,,,1
2026-09-11T10:29:00Z,R3,RES-07,check_out,party,,,,1
2026-09-11T10:31:00Z,R2,RES-03,check_in,party,,,,2
2026-09-11T10:31:30Z,R3,RES-12,check_in,party,,,,2
2026-09-11T10:45:00Z,R1,,restore,operator,,,,
2026-09-11T10:50:00Z,R1,RES-10,request,party,small,2026-09-11T11:45:00Z,2026-09-11T12:15:00Z,
2026-09-11T10:50:05Z,R1,RES-10,hold,party,,,,
2026-09-11T11:00:00Z,R3,RES-12,overdue,scheduler,,,,
2026-09-11T11:04:00Z,R3,RES-12,check_out,party,,,,2
2026-09-11T11:05:05Z,R1,RES-10,expire,scheduler,,,,
2026-09-11T11:10:00Z,R1,RES-11,no_show,scheduler,,,,
2026-09-11T11:10:00Z,R1,RES-11,no_show,scheduler,,,,
2026-09-11T11:10:30Z,R3,,retire,operator,,,,
2026-09-11T11:15:00Z,R3,,commission,operator,large,,,
2026-09-11T11:20:00Z,R1,RES-14,request,party,small,2026-09-11T11:30:00Z,2026-09-11T12:00:00Z,
2026-09-11T11:20:05Z,R1,RES-14,hold,party,,,,
2026-09-11T11:25:00Z,R2,RES-03,check_out,party,,,,2
2026-09-11T11:31:00Z,R1,RES-14,check_in,party,,,,2
2026-09-11T11:31:30Z,R2,RES-04,check_in,party,,,,3
2026-09-11T11:32:00Z,R2,RES-03,check_out,party,,,,2
2026-09-11T11:50:00Z,R1,RES-14,extend,party,,,,
2026-09-11T11:58:00Z,R2,RES-04,check_out,party,,,,3
2026-09-11T11:59:00Z,R1,RES-14,check_out,party,,,,2
2026-09-11T12:05:00Z,R1,RES-13,request,party,small,2026-09-11T12:30:00Z,2026-09-11T13:00:00Z,
2026-09-11T12:05:05Z,R1,RES-13,hold,party,,,,
2026-09-11T12:25:00Z,R2,,fault,operator,,,,
